Strain (NBRC#)	Sample #
12786	P610365-11Y-002
13191	P610318-11Z-002
12877	P610366-11Z-002
12767	P610319-11C-002
12244	P610367-11C-002
12910	P610320-11E-002
13475	P610368-11E-002
12860	P610321-11G-002
13786	P610369-11G-002
13201	P610322-11J-002
16553	P610370-11J-002
12190	P610323-11L-002
13983	P610371-11L-002
13371	P610324-11N-002
100776	P610372-11N-002
12770	P610325-11P-002
13601	P610373-11P-002
100764	P610326-11R-002
100777	P610374-11R-002
12772	P610327-11T-002
102068	P610375-11T-002
12773	P610328-11V-002
14060	P610376-11V-002
13482	P610329-11X-002
13414	P610377-11X-002
12999	P610331-11B-002
13851	P610378-11Z-002
13042	P610330-11Z-002
13192	P610379-11B-002
12864	P610332-11D-002
12787	P610380-11D-002
12860	P610321-11G-002
13786	P610369-11G-002
13201	P610322-11J-002
16553	P610370-11J-002
12190	P610323-11L-002
13983	P610371-11L-002
13371	P610324-11N-002
100776	P610372-11N-002
12770	P610325-11P-002
13601	P610373-11P-002
100764	P610326-11R-002
100777	P610374-11R-002
12772	P610327-11T-002
102068	P610375-11T-002
12773	P610328-11V-002
14060	P610376-11V-002
13482	P610329-11X-002
13414	P610377-11X-002
12999	P610331-11B-002
13851	P610378-11Z-002
13042	P610330-11Z-002
13192	P610379-11B-002
12864	P610332-11D-002
12787	P610380-11D-002
13400	P610333-11F-002
12788	P610381-11F-002
15412	P610334-11H-002
15422	P610382-11H-002
12865	P610335-11K-002
12882	P610383-11K-002
12866	P610336-11M-002
12789	P610384-11M-002
15413	P610337-11Q-002
12903	P610385-11Q-002
12774	P610338-11S-002
13452	P610386-11S-002
100913	P610339-11U-002
15424	P610387-11U-002
15418	P610340-11W-002
12884	P610388-11W-002
12868	P610341-11Y-002
13054	P610389-11Y-002
15440	P610342-11Z-002
medium	P610104-14P-002
